Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2013-0006753,5/20/13,5/20/2013  3:34:00PM,HAZARDOUS CONDITION,Other,NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR,MA,CLOSED,Officers dispatched to a report of a hazardous condition. Officers arrived and spoke to the reporting party who stated a bottle of acid waster was spilling over the bottle. Officers report the area is secure and all is in order.
2013-0006756,5/20/13,5/20/2013  4:39:00PM,PROPERTY DAMAGE,Theft,NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR,MA,CLOSED,Officers dispatched to a report of a fire alarm. Officers arrived and observed the sprinkler head pouring water onto the floor. Officers report damage done to the first floor of the hallway and inside of the fitness center. Operations was notified and will respond to the area.
2013-0006761,5/20/13,5/20/2013 11:55:00PM,NOISE COMPLAINT,Noise,10 DEWOLFE ST ,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and report all is quiet and in order.
2013-0006762,5/21/13,5/21/2013 12:15:00AM,ASSIST CAMBRIDGE POLICE,Other,OWL CLUB 30 HOLYOKE ST,MA,CLOSED,Officers assisted CPD with a noise complaint. Officers report the area is now quiet.
2013-0006764,5/21/13,5/21/2013 12:24:00AM,ASSIST CAMBRIDGE POLICE,Other,BEE CLUB 45 DUNSTER ST,MA,CLOSED,Officers assisted CPD with a report that an unwanted guest was attempting to gain access to the building. CPD spoke with the individual and sent them on their way.
2013-0006765,5/21/13,5/21/2013 12:37:00AM,NOISE COMPLAINT,Noise,QUINCY HOUSE - NEW 3 DEWOLFE ST,MA,CLOSED,Officers dispatched to a report of loud noise. Officers arrived and spoke to the occupant of room 618 who lowered the music and shut the windows.
2013-0006770,5/21/13,5/21/2013  5:36:00AM,DISORDERLY CONDUCT,Disturbance,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,ARREST,"Officers dispatched to a report that two unwanted guests stole coffee from the Au Bon Pain and were now walking to the T. Officers arrived and located the two individuals who admitted to stealing coffee and agreed to go back to the Au Bon Pain to speak to the manager regarding compensation for the stolen coffee. Upon arrival back to the Au Bon Pain, the two individuals began making derogatory statements about the manager, speaking loudly and balling their fists. The two began shouting at customers and becoming aggressive. Officers checked the two individuals for wants/warrants with negative results and placed them under arrest for disorderly conduct.
Name: DeMello, Kevin
Age: 50
Address: Unknown at this time
Charge(s): Disorderly Conduct
Name: Spezzaferro, Louis
Age: 52
Address: Unknown at this time
Charge(s): Disorderly Conduct"
2013-0006773,5/21/13,5/21/2013  7:16:00AM,FIELD INTERVIEW,Other,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,"Officers dispatched to a report of an unwanted guest sleeping in the stairwell. Upon arrival, officers were informed the individual had left the building. Officers located the individuals backpack and the individual near the building. Officers conducted a field interview with the individual. The individual was checked for wants/warrants with negative results. The individual was instructed to not return to the building and their property was returned to them."
2013-0005364,5/21/13,5/21/2013  7:20:00AM,UNWANTED GUEST,Suspicious activity,8 STORY ST ,MA,CLOSED,"While on a directed patrol of the area, officer reports sending an unwanted guest on their way."
2013-0006795,5/21/13,5/14/2013 To 5/17/201312:00:00PM To  5:00:00PM,THEFT REPORT,Theft,CRONKHITE GRADUATE CENTER 84 BRATTLE ST,MA,CLOSED,"Officer dispatched to take a report of a stolen bag that contained a sweatshirt, sunglasses and a coffee mug. The total value of the property stolen was $270.00."
2013-0006811,5/21/13,5/21/2013  7:40:00PM,SUSPICIOUS MAIL/ PACKAGE/BAG,Suspicious activity,BAKER HALL 45 HARVARD WAY,MA,CLOSED,Officers dispatched to a report of an unattended bag. Officers report the owner arrived and claimed their property.
2013-0006813,5/21/13,5/21/2013  9:19:00PM,VANDALISM,Suspicious activity,SFP SOLDIERS FIELD PARK 02 111 WESTERN AVE,MA,CLOSED,"Officers dispatched to a report of a loud party in apartment 410. Officers were also advised that the individuals ripped a wreath off a door of another apartment and were damaging packages. Upon arrival, officers spoke with the occupants and informed them the party was shut down. The reporting individual informed they would take the packages that were damaged to prevent them from any further damage and return them to the neighbors in the morning. The occupants were informed to leave the building."
2013-0006814,5/21/13,5/21/2013  9:46:00PM,SKATEBOARD/BIKE COMPLAINT,Suspicious activity,JFK PARK 968 MEMORIAL DR,MA,CLOSED,"While on a directed patrol, officers sent three individuals who were skateboarding on their way."
2013-0006817,5/21/13,5/21/2013 11:46:00PM,NOISE COMPLAINT,Noise,HOLDEN GREEN 204 204 HOLDEN ST,MA,CLOSED,Officers dispatched to a report of individuals stomping and making noise in apartment F. Officers arrived and spoke with the occupants who stated they would keep the noise down.
2013-0006821,5/22/13,5/22/2013  3:48:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,WILLIAM JAMES HALL 33 KIRKLAND ST,MA,CLOSED,Officer dispatched to a report of an individual acting suspiciously inside of a motor vehicle. Officer arrived and searched the area for the individual with negative results. Officer spoke with the reporting party and states all is in order.
2013-0006825,5/22/13,5/22/2013  5:58:00AM,UNWANTED GUEST,Suspicious activity,LARSEN HALL 14 APPIAN WAY,MA,CLOSED,Officers dispatched to a report of two individuals sleeping under the front stairs. Officers arrived and sent the individuals on their way.
2013-0006834,5/22/13,5/22/2013 12:00:00PM,ASSIST BOSTON POLICE,Other,SFP SOLDIERS FIELD PARK 06 111 WESTERN AVE,MA,CLOSED,Officers assisted the Boston Police Department.
2013-0006840,5/22/13,5/22/2013 12:50:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,JOHN HARVARD STATUE 1 HARVARD YARD,MA,CLOSED,Officer dispatched to a report of an individual on the statue. Officer arrived and reports no one is on the statue and all is in order.
2013-0006841,5/22/13,5/22/2013 12:00:00PM To  1:45:00PM,THEFT REPORT,Theft,GUND HALL 48 QUINCY ST,MA,CLOSED,"Officer dispatched to take a report of a theft. Officer arrived and spoke to the reporting party who stated the following items were stolen from their wallet: identification cards, credit cards, an MBTA Charlie card valued at $15.00, an Urban Outfitters gift card valued at $100.00, a Victorias Secret gift card valued at $50.00 and a Cheesecake factory gift card valued at $20.00."
2013-0006859,5/22/13,5/22/2013 11:08:00PM,REMOVE GROUP,Other,MCARTHUR HALL 47 HARVARD WAY,MA,CLOSED,Officers dispatched to a report of a large group drinking in the area. Officers arrived and advised the group of the alcohol policies and sent them on their way.
2013-0006861,5/23/13,5/23/2013 12:09:00AM,SUSPICIOUS ODOR/SMOKE,Suspicious activity,10 AKRON ST ,MA,CLOSED,Officer dispatched to a report of something burning in the building. Officer reports the smell was from burnt popcorn.
2013-0006862,5/23/13,5/23/2013 12:50:00AM,NOISE COMPLAINT,Noise,KIRKLAND HOUSE F 95 DUNSTER ST,MA,CLOSED,Officers dispatched to a report of a loud group in the area. Officer reports the group was passing through the area and all was in order.
2013-0006873,5/23/13,5/23/2013  8:01:00AM,UNWANTED GUEST,Suspicious activity,"KIRKLAND STREET, 37 37 KIRKLAND ST",MA,CLOSED,Officers dispatched to a report of an unwanted guest sleeping in the doorway. Officers arrived and sent the individual on their way.
2013-0006874,5/23/13,5/23/2013  8:16:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,AUSTIN HALL 1515 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of a device in the bathroom with a blinking red light. Officers located the device which was a radio accidentally left behind by an employee. Officers took custody of the radio and notified the individual where they could pick up their property.
2013-0006878,5/23/13,5/20/2013 To 5/21/2013 3:00:00PM To  7:00:00AM,THEFT REPORT,Theft,SUNKEN GARDENS 14 APPIAN WAY,MA,CLOSED,Officer dispatched to take a report of an attempted theft. Upon arrival the reporting individual informed the officer unknown individual(s) attempted to remove a 16' section of copper drain cover valued at $200.00. The cover was not removed from the area and recovered within the area by landscaping services.
2013-0006895,5/23/13,5/23/2013  4:33:00PM,ASSIST CAMBRIDGE POLICE,Other, WESTERN AVE / PUTNAM AVE,MA,CLOSED,Officer assisted CPD with searching the area for an individual involved in a theft.
2013-0006896,5/23/13,5/23/2013  4:56:00PM,UNWANTED GUEST,Suspicious activity,MASSACHUSETTS HALL 11 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of two unwanted guests drinking on the steps. Officers report the individuals were gone on arrival.
2013-0006905,5/23/13,5/23/2013 10:03:00PM,ASSIST CAMBRIDGE POLICE,Other, MASSACHUSETTS AVE / PLYMPTON ST,MA,CLOSED,Officer dispatched to assist CPD with a report of a motor vehicle accident with personal injuries. Upon arrival the officer was informed that an individual was struck by a motor vehicle and was transported to a medical facility for treatment.
2013-0006906,5/23/13,5/23/2013 10:47:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,MORRIS HALL 14 HARVARD WAY,MA,CLOSED,Officer dispatched to a report that an individual was banging on another individual's window. Officer reports there was no one in the area banging on any windows and no damage was done to any windows in the area.
2013-0006927,5/24/13,5/24/2013 11:25:00AM,UNWANTED GUEST,Suspicious activity,7 SUMNER ROAD ,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2013-0006928,5/24/13,5/23/2013 To 5/24/201310:41:00AM To 11:30:00AM,THEFT REPORT,Theft,85 PRESCOTT STREET ,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured mail package that contained miscellaneous  books and clothes valued at $50.00.
2013-0006932,5/24/13,5/24/2013  1:19:00PM,UNWANTED GUEST,Suspicious activity,OFFICE OF CONTINUING EDUCATION 51 BRATTLE ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and report the individual is gone on arrival.
2013-0006933,5/24/13,5/24/2013  2:06:00PM,UNWANTED GUEST,Suspicious activity,LONGFELLOW HALL 13 APPIAN WAY,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and report the individual was not on Harvard University property. Officers spoke to the individual and sent them on their way.
2013-0006936,5/24/13,5/24/2013  4:40:00PM,ASSIST CAMBRIDGE POLICE,Other,JOHNSTON GATE 47 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of two individuals yelling at each other. Officers arrived and report CPD arrived and took over the scene.
2013-0006940,5/24/13,5/24/2013  9:01:00PM,ASSIST CAMBRIDGE POLICE,Other, 5 BRYANT ST,MA,CLOSED,Officers dispatched to assist CPD in searching the area for a suspicious motor vehicle. Officers arrived and searched the area with negative results.
2013-0006942,5/24/13,5/24/2013 11:09:00PM,REMOVE GROUP,Other,SUNKEN GARDENS 14 APPIAN WAY,MA,CLOSED,Officers dispatched to a report of a group of individuals in the area. Officers arrived and searched the area for the group with negative results.
2013-0006943,5/24/13,5/24/2013 11:28:00PM,ASSIST CAMBRIDGE POLICE,Other, 76 BRATTLE ST,MA,CLOSED,Officer informed of the odor of natural gas. Officer reports the odor was not coming from Harvard University property and CPD was notified of the incident.
2013-0006944,5/25/13,5/25/2013 12:02:00AM,LOUD PARTY,Noise,ADVOCATE 21 SOUTH ST,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and told the occupants to turn the music down.
2013-0006954,5/25/13,5/25/2013  3:56:00AM,ASSIST CAMBRIDGE POLICE,Other,LAW SCHOOL QUAD 14 EVERETT ST,MA,CLOSED,Officers dispatched to assist CPD in searching the area for an individual that was acting suspiciously. Officers located the individual who was lost and attempting to catch a cab. Officers directed the individual to their desired location.
2013-0006964,5/25/13,5/24/2013  9:00:00AM To  5:30:00PM,THEFT REPORT,Theft,LANGDELL HALL 1545 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report of a stolen dark green mountain bicycle valued at $500.00 and a bicycle lock valued at $20.00. There were no suspicious individuals seen in the area at the time of the theft.
2013-0006966,5/25/13,5/17/2013 To 5/25/2013 3:06:00PM To  3:20:00PM,THEFT REPORT,Theft,PEABODY TERRACE 24 900 MEMORIAL DR,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured mail package that contained a black Samsonite suitcase valued at $150.00.
Update 3/17/14: Complaints were issued against an individual involved in this incident:
Name: Yuan, Chen
Age: 31
Address: 900 Memorial Dr., Apt 1603, Cambridge, MA
Charge(s): Larceny Under $250"
2013-0006975,5/26/13,5/26/2013 12:20:00AM,LOUD PARTY,Noise,VANDERBILT HALL 107 AVE LOUIS PASTEUR,MA,CLOSED,Officers dispatched to a report of a loud party. Officers arrived and reports the occupants were dispersing upon the officers arrival.
2013-0006978,5/26/13,5/26/2013  1:12:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,WIDENER LIBRARY 31 HARVARD YARD,MA,CLOSED,Officers dispatched to a report of two individuals arguing. Officers arrived and report the individuals were having a verbal disagreement and sent them on their way.
2013-0006980,5/26/13,5/26/2013  1:30:00AM,ASSIST CAMBRIDGE POLICE,Other,SPEE CLUB 76 MT AUBURN ST,MA,CLOSED,Officer assisted CPD with a loud party.
2013-0006983,5/26/13,5/25/2013 To 5/26/2013 3:00:00PM To  2:00:00AM,THEFT REPORT,Theft,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of $113.00 of unattended and unsecured cash that was stolen.
2013-0006986,5/26/13,5/26/2013  9:17:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,C1 BUILDING - HARVARD MEDICAL 240 LONGWOOD AVE,MA,CLOSED,Officers dispatched to a report that an individual attempted to piggyback into the building. Officers arrived and report the individual was gone on arrival.
2013-0006990,5/26/13,5/26/2013 11:23:00AM,SUSPICIOUS ACTIVITY,Suspicious activity, 176 LINCOLN ST,MA,CLOSED,Officers dispatched to a report of an attempted theft. Officers arrived and report all is in order and there was no attempted theft.
2013-0006995,5/26/13,5/25/2013 To 5/26/201310:00:00PM To  1:00:00AM,LOST PROPERTY,Theft,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured beige Burberry coat valued at $1500.00.
UPDATE 6/11/13: The reporting party stated their coat was located and was not in face stolen. This report has been reclassified from theft report to lost property."
2013-0006996,5/26/13,5/26/2013 12:49:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,NORTHWEST SCIENCE BUILDING 52 OXFORD ST,MA,CLOSED,Officers dispatched to a report of two individuals reportedly about to fight. Officers arrived and report the individuals are gone on arrival.
2013-0006997,5/26/13,5/26/2013  1:03:00PM,DEMONSTRATION,Disturbance,HARVARD YARD 1 PEABODY ST,MA,CLOSED,Officers monitored a demonstration that went without incident.
2013-0006998,5/26/13,5/24/2013 To 5/26/2013 4:00:00PM To  1:00:00PM,MOTOR VEHICLE ACCIDENT,Other,EVERETT STREET GARAGE 10 EVERETT ST,MA,CLOSED,Officer dispatched to take a report of damage done to the drivers side of a motor vehicle that was caused by another motor vehicle.
2013-0007003,5/26/13,5/26/2013  4:51:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,PEABODY TERRACE 24 900 MEMORIAL DR,MA,CLOSED,Officers dispatched to a report of individuals reportedly damaging a light pole. Officers arrived and spoke to the individuals and sent them on their way. Officers report there was no damage.
